"Value","Qty"
"R1k","11"
"R10k","8"
"R-4k7","4"
"G1","4"
"2L","4"
"RELAY_SRD-05VDC","4"
"1N4148","4"
"SW","3"
"R100k","3"
"1N5819WS","3"
"R100","2"
"FDS9926A","2"
"Conn_01x12_Pin","2"
"BZV55B3V3","2"
"C_Polarized_Small","2"
"SIM800L-CORE","1"
"PJ-320A","1"
"ESP-12F","1"
"TSOP1838","1"
"Mini360","1"
"AMS1117-3.3","1"
"AMS1117-5.0","1"
"DHT11","1"
"R-4k7-opt","1"
"33R-opt","1"
"R-100k","1"
"R-10k","1"
"33R","1"
"R10k-opt","1"
"prog","1"
"powerRelay","1"
"Polyfuse_Small","1"
"~","1"
"SM6T3.3A-3.3V","1"
"LD271","1"
"SMBJ15A","1"
"SMBJ5.0A","1"
"10uF","1"
"22uF","1"
