Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C_Polarized_1000mF","CP_Radial_D10.0mm_P3.50mm",86.942300,-74.800000,0.000000,top
"D1","LD271","LED_D5.0mm_IRGrey",87.975000,-121.780000,180.000000,top
"J1","prog","PinHeader_1x04_P2.54mm_Vertical",88.850000,-115.690000,180.000000,top
"J2","Conn_01x12_Pin","connector-12-green-mini",119.740000,-118.550000,-90.000000,top
"J3","Conn_01x12_Pin","connector-12-green-mini",123.600000,-61.700000,0.000000,top
"J4","flash","PinHeader_1x02_P2.54mm_Vertical",113.645000,-100.910000,-90.000000,top
"J5","reset","PinHeader_1x02_P2.54mm_Vertical",113.665000,-104.530000,-90.000000,top
"K3","ZC32F-012-HS3-copy","ZC32F-012-HS3",79.100000,-84.300000,90.000000,top
"K5","ZC32F-012-HS3-copy","ZC32F-012-HS3",89.500000,-84.300000,90.000000,top
"K6","ZC32F-012-HS3-copy","ZC32F-012-HS3",99.900000,-84.300000,90.000000,top
"K7","ZC32F-012-HS3-copy","ZC32F-012-HS3",110.300000,-84.300000,90.000000,top
"MX-RM-5V-RF-sensor1","Conn_01x04_Pin","RF_Receiver_433_MHz",79.697900,-66.600000,90.000000,top
"RV1","res-a0","Potentiometer_Bourns_3266Y_Vertical",113.055000,-112.565000,-90.000000,top
"U2","ESP-12F","ESP-12E",100.140000,-113.300000,180.000000,top
"U3","TSOP23xx","Vishay_MOLD-3Pin",81.745000,-118.780000,-90.000000,top
"U4","Mini360","Mini360_step-down",105.520000,-68.520000,180.000000,top
"U5","PJ-320A","PJ-320A",75.635000,-100.540000,0.000000,top
"U7","DS18B20","TO-92_Inline",111.060000,-123.590000,0.000000,top
"dc-in1","~","dc-in-plastic-standard",114.735000,-68.315000,180.000000,top
"display/ads1","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",79.410000,-115.690000,180.000000,top
"max1","~","PinHeader_1x05_P2.54mm_Vertical",117.320000,-110.990000,180.000000,top
