Designator;Mid X;Mid Y;Column7;Column6
C3;92.049600;-77.978000;bottom;-90.000000
C4;91.436800;-107.137200;bottom;0.000000
D1;78.994000;-94.132400;bottom;180.000000
D2;56.083200;-72.593200;bottom;0.000000
D3;83.566000;-84.582000;bottom;90.000000
D4;94.284800;-62.890400;bottom;90.000000
D6;72.237600;-72.694800;bottom;0.000000
D8;68.021200;-84.582000;bottom;90.000000
D9;64.363600;-64.414400;bottom;180.000000
D10;55.575200;-85.293200;bottom;90.000000
D11;78.232000;-76.657200;bottom;0.000000
D12;81.076800;-71.272400;bottom;90.000000
D13;91.338400;-95.199200;bottom;0.000000
D14;61.061600;-90.068400;bottom;90.000000
F1;87.985600;-62.687200;bottom;90.000000
Q1;57.608600;-68.746500;bottom;0.000000
Q2;63.703200;-68.746500;bottom;0.000000
Q3;89.168100;-87.376000;bottom;90.000000
Q4;89.168100;-80.941300;bottom;90.000000
Q5;71.018400;-68.783200;bottom;0.000000
Q6;77.114400;-68.783200;bottom;0.000000
Q7;60.218000;-82.228300;bottom;90.000000
Q8;60.218000;-76.098400;bottom;90.000000
Q9;72.339200;-84.328000;bottom;-90.000000
Q10;51.562000;-85.344000;bottom;-90.000000
R1;54.561400;-68.726500;bottom;90.000000
R2;60.655900;-68.726500;bottom;90.000000
R3;89.148100;-92.964000;bottom;0.000000
R4;89.148100;-90.593300;bottom;180.000000
R5;91.236800;-103.312200;bottom;180.000000
R6;77.317600;-101.701600;bottom;180.000000
R7;89.148100;-84.158600;bottom;180.000000
R8;54.203600;-77.825600;bottom;-90.000000
R9;77.317600;-99.263200;bottom;180.000000
R10;67.970400;-68.763200;bottom;90.000000
R11;91.236800;-99.517200;bottom;0.000000
R12;71.069200;-117.652800;bottom;0.000000
R13;74.066400;-68.763200;bottom;90.000000
R14;93.929200;-82.346800;bottom;180.000000
R16;63.500000;-85.039200;bottom;-90.000000
R17;67.665600;-78.130400;bottom;180.000000
R18;60.198000;-85.293200;bottom;0.000000
R19;91.236800;-74.168000;bottom;180.000000
R20;60.198000;-79.163300;bottom;0.000000
R21;56.438800;-77.774800;bottom;90.000000
R22;71.069200;-115.722400;bottom;0.000000
R23;82.296000;-103.784400;bottom;0.000000
R24;82.296000;-101.523800;bottom;180.000000
R25;82.296000;-99.263200;bottom;0.000000
R26;67.665600;-75.742800;bottom;0.000000
R27;91.592400;-113.436400;bottom;180.000000
R28;91.592400;-111.404400;bottom;0.000000
R29;83.464400;-115.011200;bottom;90.000000
R30;78.841600;-65.278000;bottom;0.000000
R31;50.952400;-69.037200;bottom;90.000000
R32;83.312000;-71.221600;bottom;-90.000000
R33;66.598800;-90.627200;bottom;90.000000
R34;78.232000;-78.740000;bottom;180.000000
U2;72.630500;-61.902000;bottom;90.000000
U4;55.900000;-61.902000;bottom;90.000000
U7;60.380500;-102.902000;bottom;-90.000000
