Ref,Val,Package,PosX,PosY,Rot,Side
"IRLR1","~","TO-252-2",92.340000,-66.740000,90.000000,bottom
"IRLR2","~","TO-252-2",102.860000,-68.060000,90.000000,bottom
"IRLR3","~","TO-252-2",84.847500,-66.800000,90.000000,bottom
"Jumper-d5","1","R_0805_2012Metric",104.310000,-78.300000,180.000000,bottom
"Jumper-d6","1","R_0805_2012Metric",90.260000,-78.630000,90.000000,bottom
"Jumper-d7","1","R_0805_2012Metric",80.430000,-78.250000,90.000000,bottom
"Q1","MMBT5401","SOT-23",93.020000,-88.700000,180.000000,bottom
"Q5","MMBT5401","SOT-23",82.770000,-88.750000,180.000000,bottom
"Q6","MMBT5551-npn","SOT-23",82.770000,-94.150000,180.000000,bottom
"Q7","MMBT5551-npn","SOT-23",93.020000,-94.100000,180.000000,bottom
"Q8","MMBT5401","SOT-23",103.510000,-88.827500,180.000000,bottom
"Q9","MMBT5551-npn","SOT-23",103.510000,-94.427500,180.000000,bottom
"Q10","MMBT5401","SOT-23",113.720000,-88.787500,180.000000,bottom
"Q11","MMBT5551-npn","SOT-23",113.720000,-94.187500,180.000000,bottom
"R1","R-100","R_0805_2012Metric",101.050000,-76.740000,90.000000,bottom
"R2","R-10k","R_0805_2012Metric",104.210000,-75.890000,0.000000,bottom
"R3","R-100","R_0805_2012Metric",105.030000,-112.922500,-90.000000,bottom
"R4","R-1k","R_0805_2012Metric",92.780000,-86.000000,180.000000,bottom
"R5","R-100","R_0805_2012Metric",94.180000,-79.250000,0.000000,bottom
"R6","R-10k","R_0805_2012Metric",94.750000,-75.500000,0.000000,bottom
"R8","R-100","R_0805_2012Metric",86.420000,-79.450000,0.000000,bottom
"R9","R-10k","R_0805_2012Metric",86.420000,-77.540000,0.000000,bottom
"R10","R-10k","R_0805_2012Metric",101.010000,-113.200000,-90.000000,bottom
"R11","R-10k","R_0805_2012Metric",101.837500,-110.432500,0.000000,bottom
"R12","R-10k","R_0805_2012Metric",98.337500,-110.432500,0.000000,bottom
"R13","R-10k","R_0805_2012Metric",97.550000,-104.192500,90.000000,bottom
"R16","R-100","R_0805_2012Metric",101.750000,-105.020000,90.000000,bottom
"R17","R-1k","R_0805_2012Metric",92.780000,-91.400000,0.000000,bottom
"R21","R-1k","R_0805_2012Metric",82.530000,-86.050000,180.000000,bottom
"R22","R-1k","R_0805_2012Metric",82.530000,-91.450000,180.000000,bottom
"R23","R-1k","R_0805_2012Metric",103.270000,-86.127500,180.000000,bottom
"R24","R-1k","R_0805_2012Metric",103.270000,-91.727500,0.000000,bottom
"R25","R-1k","R_0805_2012Metric",113.480000,-86.087500,0.000000,bottom
"R26","R-1k","R_0805_2012Metric",113.480000,-91.487500,0.000000,bottom
"U6","AMS1117-3.3","SOT-223-3_TabPin2",114.380000,-117.072500,0.000000,bottom
"U12","AMS1117-5.0","SOT-223-3_TabPin2",113.190000,-76.110000,0.000000,bottom
