"Идентиф.";"Обозначение";"Посад.место";"Количество";"Значение";"Поставщик и справка";
1;"dc-in1";"5.5PowerIn";1;"~";;;
2;"D5";"LED_D5.0mm_IRGrey";1;"LD271";;;
3;"SW2-reset1,SW1,SW2-flash1";"SW_PUSH_6mm_H4.3mm";3;"SW_PUSH_6mm_H4.3mm";;;
4;"K1,K3,K2,K4";"RELAY_SRD-05VDC-SL-C";4;"RELAY_SRD-05VDC";;;
5;"U6";"TSOP18XX";1;"TSOP1838";;;
6;"J5,J6";"connector-12-green-mini";2;"Conn_01x12_Pin";;;
7;"prog1";"PinHeader_1x04_P2.54mm_Vertical";1;"prog";;;
8;"C2,C1";"CP_Radial_D10.0mm_P3.50mm";2;"C_Polarized_Small";;;
9;"U5";"mini360";1;"Mini360";;;
10;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"powerRelay";;;
11;"U8";"PJ-320A";1;"PJ-320A";;;
12;"U1";"Aosong_DHT11_5.5x12.0_P2.54mm";1;"DHT11";;;
13;"Q1,Q3,Q7,Q5";"SOT-23";4;"2L";;;
14;"D3,D6,D2,D8";"D_MiniMELF";4;"1N4148";;;
15;"R21,R28,R8,R32,R9,R34,R6,R27";"R_0805_2012Metric";8;"R-10k";;;
16;"R12,R18,R25,R10,R20,R1,R7,R4,R2,R24,R22,R13";"R_0805_2012Metric";12;"R-1k";;;
17;"D9";"D_SMB";1;"SM6T3.3A-3.3V";;;
18;"C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10uF";;;
19;"F1";"Fuse_1812_4532Metric";1;"Polyfuse_Small";;;
20;"U7";"ESP-12E_no_pins";1;"ESP-12F";;;
21;"Q2,Q4,Q6,Q8";"SOT-23";4;"G1";;;
22;"D1";"D_SMB";1;"SM6T24A";;;
23;"D10,D11,D13,D14,D12";"D_MiniMELF";5;"BZV55B3V3";;;
24;"Q9,Q10";"SOIC-8_3.9x4.9mm_P1.27mm";2;"FDS9926A";;;
25;"R14,R19";"R_0805_2012Metric";2;"R-100";;;
26;"C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"22uF";;;
27;"U2";"SOT-223-3_TabPin2";1;"AMS1117-5.0";;;
28;"R30,R26,R33,R3,R17";"R_0805_2012Metric";5;"R-4k7";;;
29;"R23";"R_0805_2012Metric";1;"R-1k-opt";;;
30;"R29,R11";"R_0805_2012Metric";2;"33R";;;
31;"R31";"R_0805_2012Metric";1;"d3-as-input";;;
32;"R5";"R_0805_2012Metric";1;"R-10k-opt";;;
33;"R16";"R_0805_2012Metric";1;"rx-as-input";;;
34;"U4";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
35;"D4";"D_SMB";1;"SM6T24A-12V";;;
